author,count(followers)
ANKIDINOVAKIRA,3
BABICHEVASONYA,532
ALEKSANISIMOF,5
ANDEERLWR,675
ANTHONYCARTR,33
BEAUTYMERCELA,228
BILAAL_RAIS,3
ALEKSEY_SOKOL_,959
ALODOY,22
AMIRAHPOPE,62
ANGTHEESTR,670
5L5_5L5,464
BAKINGBEKKER,31
ADELE_BROCK,126
ANATOLINEMCOV,628
AAASSSSSHHH,71
ANTONHAYHAY,10425
BLACKPANTHER_TX,48
ANGELITHSS,113
AVEERTEST,6
ANTIEHARMON,169
BLACKTIVISTDAVE,1
ALECMOOOOODY,8368
ABUNUWASA,175
ADAMCHAPMANJR,1499
ALBERTMORENMORE,1098
ANFRAIZER,44
AVRYLSTEWART,9
BEVERLYBALSOM,175
BABCHENKOVA,222
BEGI_BEGUNOVA,457
BLACKERTHEBERR5,104
ALLFORPETERSONS,28
ABALAKOVAYLIA,441
ALEESATRS,6
AMBERLINETR,3025
ANGELA_LATTKE,389
AAGN1AA,508
ALAXXATR,862
ANGELIKOROTKOVA,491
ARKADII_TROFIM,1484
BEEBCLAPTT,4470
AARON_M1TCHELL,4
ALANISSTRS,1104
ALAXXATRT,6
ARAGARTRR,1051
ALEXXBELYAEV,433
ALEX_DUGIN,1380
AMIRICANWILL,40
ANDRYNAUMOV,10
BESSIECOOKSYOU,16
ALVA_MC_GHEE,133
ANGISDOOYL,565
AVIAPRES,696
BAUMAN_OFF,1141
BE_BRUTA_L,26
BIAANCLEESS,152
ALIISTRR,1632
ANTONRUMSS,546
BELBELLOC,40
ANDREY_LISCHINA,32
AMBAASTRT,6
ANTONOVMENMENCO,246
BERGERJAMIE75,40
BAZHINVAZHEN,378
1488REASONS,53
ARGENTINACATLE1,680
ATIF_SHAIKH_ME,79
AHNORDYK,562
ANITALOVEHEART,62
ARTURBURANOF,757
BEDOVVITALIY,588
ABIGAILSSILK,1714
AMELCREECH,46
BELKADASHECHKA,996
BLACK4UNITY,73
ADRIENNE_GG,2900
ALI27HUSSEIN,21
ALWAYSHUNGRYBAE,1
AMAMCAMCAM,84
ANNSAM_SAM,1204
BARRLAUTRS,860
GIOVANNA__MORET,341
GUBATOVOFFICIAL,529
HOOPERIDA_,26
JEFFREYRAYMAY,44
KANIJJACKSON,2547
ITBATAEV,7
GAB1ALDANA,3622
JOHNIEVOGUE,1054
IGORKLEMENTEV,477
JOURNALISTKALUZ,19
